id,조합상세,사용된 아이템,사용된 챔프,분해된 아이템,조합이름
483,"4 선봉대,3 학살자,3 용의 영혼,2 명사수,1 황제,1 무모한 자,1 대장장이","모렐로노미콘,얼어붙은 심장,정의의 손길,루난의 허리케인,최후의 속삭임,정의의 손길,거인 학살자,죽음의 검,용의 발톱,이온 충격기,침묵의 장막","브라움,시비르,세주아니,아트록스,올라프,사미라,스웨인,아지르,오른","3B.F. 대검,1거인의 허리띠,2쓸데없이 큰 지팡이,2쇠사슬 조끼,3곡궁,4음전자 망토,3여신의 눈물,4연습용 장갑",귀감
484,"4 신성,2 처형자,2 조율자,2 영혼,2 신비술사,1 황제,1 닌자","강철의 솔라리 펜던트,지크의 전령,침묵의 장막,이온 충격기,고속 연사포,구인수의 격노검,수은,고속 연사포","유미,이렐리아,킨드레드,쉔,케일,리 신,아지르,아지르","1B.F. 대검,1거인의 허리띠,3쓸데없이 큰 지팡이,2쇠사슬 조끼,5곡궁,2음전자 망토,2연습용 장갑",광신도
485,"6 귀감,3 선봉대,3 나무정령,2 처형자,1 황제,1 우두머리,1 대장장이,1 닌자","힘의 성배,모렐로노미콘,수호자의 흉갑,워모그의 갑옷,덫 발톱,정의의 손길,수호 천사,최후의 속삭임,힘의 성배","엘리스,라칸,케넨,아트록스,자야,케일,세트,오른,아지르","1B.F. 대검,1뒤집개,4거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,1곡궁,2음전자 망토,3여신의 눈물,3연습용 장갑",처형자나무정령
486,"2 흡수자,2 싸움꾼,2 신성,2 신비술사,1 황제,1 우두머리,1 닌자","태양불꽃 망토,정의의 손길,용의 발톱,모렐로노미콘,라바돈의 죽음모자,라바돈의 죽음모자,정의의 손길,용의 발톱,마법공학 총검","나서스,쉔,리 신,리 신,아지르,아지르,세트,스웨인,질리언","1B.F. 대검,2거인의 허리띠,6쓸데없이 큰 지팡이,1쇠사슬 조끼,4음전자 망토,2여신의 눈물,2연습용 장갑",싸움꾼
487,"3 학살자,3 용의 영혼,2 흡수자,2 신성,2 선봉대,2 결투가,1 추방자","모렐로노미콘,루난의 허리케인,루난의 허리케인,정의의 손길,지크의 전령,고속 연사포,얼어붙은 심장,가고일 돌갑옷,신성의 검,수호 천사","브라움,모르가나,아트록스,올라프,트린다미어,리 신,스웨인,요네","3B.F. 대검,1뒤집개,2거인의 허리띠,1쓸데없이 큰 지팡이,3쇠사슬 조끼,4곡궁,3음전자 망토,2여신의 눈물,1연습용 장갑",처형자신성
488,"4 신비술사,4 선봉대,3 우화,1 대장장이","용의 발톱,수호 천사,푸른 파수꾼,마법공학 총검,모렐로노미콘,힘의 성배,힘의 성배","잔나,노틸러스,브라움,니코,세주아니,초가스,오른,질리언","2B.F. 대검,1거인의 허리띠,2쓸데없이 큰 지팡이,1쇠사슬 조끼,4음전자 망토,4여신의 눈물",귀감
489,"8 나무정령,3 요술사,2 싸움꾼,2 귀감","도적의 장갑,거인 학살자,태양불꽃 망토,도적의 장갑,힘의 성배,라바돈의 죽음모자,마법공학 총검,나무정령 새싹,스태틱의 단검,정의의 손길,거인 학살자,죽음의 검","마오카이,라칸,룰루,누누와 윌럼프,누누와 윌럼프,베이가,아우렐리온 솔,자야","5B.F. 대검,1뒤집개,1거인의 허리띠,3쓸데없이 큰 지팡이,1쇠사슬 조끼,3곡궁,2음전자 망토,3여신의 눈물,5연습용 장갑",처형자조율자신성
490,"4 처형자,4 신성,3 조율자,2 영혼,2 신비술사,2 귀감,1 황제,1 추방자,1 닌자","루덴의 메아리,태양불꽃 망토,즈롯 차원문,신성의 검,보석 건틀릿,고속 연사포,수은,푸른 파수꾼,신성의 검,거인의 결의","유미,이렐리아,킨드레드,쉔,자야,케일,아지르,요네","2B.F. 대검,2뒤집개,2거인의 허리띠,2쓸데없이 큰 지팡이,2쇠사슬 조끼,4곡궁,1음전자 망토,3여신의 눈물,2연습용 장갑",처형자신성
491,"5 결투가,3 신성,3 선지자,2 흡수자","강철의 솔라리 펜던트,용의 발톱,정의의 손길,결투가의 열정,구인수의 격노검,수은,루난의 허리케인","나서스,피오라,잔나,잭스,이렐리아,칼리스타,스웨인","1뒤집개,2쓸데없이 큰 지팡이,1쇠사슬 조끼,3곡궁,4음전자 망토,1여신의 눈물,2연습용 장갑",결투가
492,"4 신성,3 조율자,2 처형자,2 영혼,2 신비술사,1 황제,1 추방자,1 닌자","이온 충격기,강철의 솔라리 펜던트,지크의 전령,지크의 전령,거인 학살자,정의의 손길,수은,라바돈의 죽음모자","잭스,유미,이렐리아,킨드레드,쉔,케일,요네,아지르","3B.F. 대검,2거인의 허리띠,4쓸데없이 큰 지팡이,1쇠사슬 조끼,1곡궁,2음전자 망토,1여신의 눈물,2연습용 장갑",싸움꾼
493,"4 처형자,4 신성,4 신비술사,2 영혼,2 결투가,1 닌자","도적의 장갑,구원,덤불 조끼,강철의 솔라리 펜던트,마법공학 총검,서풍,최후의 속삭임,신성의 검,구인수의 격노검,수은,태양불꽃 망토","잔나,잭스,니코,유미,킨드레드,쉔,자야,케일,리 신","2B.F. 대검,1뒤집개,3거인의 허리띠,3쓸데없이 큰 지팡이,4쇠사슬 조끼,2곡궁,2음전자 망토,1여신의 눈물,4연습용 장갑",선봉신비우화
494,"4 영혼,3 학살자,2 신비술사,2 명사수,1 추방자,1 무모한 자,1 대장장이,1 닌자","수은,수호 천사,고속 연사포,푸른 파수꾼,태양불꽃 망토,지크의 전령,힘의 성배,힘의 성배,무한의 대검,고속 연사포,푸른 파수꾼","다이애나,티모,제드,유미,킨드레드,요네,사미라,오른,질리언","3B.F. 대검,2거인의 허리띠,2쇠사슬 조끼,4곡궁,3음전자 망토,6여신의 눈물,2연습용 장갑",처형자신성
495,"8 싸움꾼,3 나무정령,1 황제,1 우두머리","서풍,덫 발톱,침묵의 장막,지크의 전령,태양불꽃 망토,마법공학 총검,루난의 허리케인,죽음의 검,고속 연사포,힘의 성배,루덴의 메아리,마법공학 총검,나무정령 새싹,거인의 결의","탐 켄치,마오카이,바이,누누와 윌럼프,쉬바나,세주아니,초가스,아지르,세트","5B.F. 대검,1뒤집개,4거인의 허리띠,3쓸데없이 큰 지팡이,3쇠사슬 조끼,4곡궁,4음전자 망토,2여신의 눈물,2연습용 장갑",요술사
496,"4 처형자,4 신성,2 조율자,2 영혼,2 신비술사,1 닌자","라바돈의 죽음모자,지크의 전령,지크의 전령,지크의 전령,스태틱의 단검,용의 발톱,고속 연사포,지크의 전령,수은","나서스,잭스,유미,이렐리아,킨드레드,쉔,자야,케일","4B.F. 대검,4거인의 허리띠,2쓸데없이 큰 지팡이,3곡궁,3음전자 망토,1여신의 눈물,1연습용 장갑",처형자신성
497,"6 선봉대,3 우화,2 신비술사,1 대장장이","태양불꽃 망토,정의의 손길,스태틱의 단검,보석 건틀릿,마법공학 총검,수호자의 흉갑,강철의 솔라리 펜던트","노틸러스,브라움,유미,니코,세주아니,아트록스,오른","1B.F. 대검,1뒤집개,1거인의 허리띠,3쓸데없이 큰 지팡이,3쇠사슬 조끼,1곡궁,2여신의 눈물,2연습용 장갑",요술사
498,"9 나무정령,3 요술사,2 싸움꾼,2 귀감,1 대장장이","힘의 성배,침묵의 장막,거인의 결의,나무정령 새싹,마법공학 총검,피바라기,수호 천사,태양불꽃 망토,워모그의 갑옷,용의 발톱","마오카이,라칸,룰루,누누와 윌럼프,베이가,아우렐리온 솔,자야,오른","3B.F. 대검,1뒤집개,3거인의 허리띠,1쓸데없이 큰 지팡이,4쇠사슬 조끼,1곡궁,5음전자 망토,1여신의 눈물,1연습용 장갑",요술사
499,"7 요술사,3 용의 영혼,2 흡수자","고속 연사포,루덴의 메아리,루덴의 메아리,힘의 성배,즈롯 차원문,즈롯 차원문,즈롯 차원문,무한의 대검,보석 건틀릿,수호 천사","나서스,트위스티드 페이트,브랜드,룰루,애니,베이가,아우렐리온 솔,스웨인","2B.F. 대검,3거인의 허리띠,3쓸데없이 큰 지팡이,1쇠사슬 조끼,5곡궁,1음전자 망토,3여신의 눈물,2연습용 장갑",처형자신성
500,"3 학살자,3 광신도,2 신성,2 명사수,1 추방자,1 우두머리,1 무모한 자","루난의 허리케인,죽음의 검,용의 발톱,용의 발톱,정의의 손길,수은,덤불 조끼,가고일 돌갑옷,무한의 대검,보석 건틀릿,모렐로노미콘","파이크,시비르,아트록스,올라프,사미라,리 신,리 신,세트,요네","3B.F. 대검,1거인의 허리띠,2쓸데없이 큰 지팡이,3쇠사슬 조끼,1곡궁,7음전자 망토,1여신의 눈물,4연습용 장갑",요술사
501,"4 흡수자,4 선지자,3 조율자,2 암살자,2 신성,2 신비술사,1 추방자,1 닌자","용의 발톱,모렐로노미콘,푸른 파수꾼,강철의 솔라리 펜던트,수호 천사,무한의 대검,수은,마법공학 총검","나서스,블라디미르,잔나,이렐리아,모르가나,쉔,탈론,스웨인,요네","3B.F. 대검,1거인의 허리띠,3쓸데없이 큰 지팡이,2쇠사슬 조끼,3음전자 망토,2여신의 눈물,2연습용 장갑",귀감
502,"4 결투가,3 학살자,3 용의 영혼,2 신성,2 명사수,1 추방자,1 무모한 자","루난의 허리케인,수호 천사,루난의 허리케인,수은,워모그의 갑옷,푸른 파수꾼,수호 천사,최후의 속삭임,요술사의 모자,루덴의 메아리,태양불꽃 망토","트리스타나,잭스,올라프,트린다미어,리 신,사미라,스웨인,요네","2B.F. 대검,1뒤집개,3거인의 허리띠,1쓸데없이 큰 지팡이,3쇠사슬 조끼,3곡궁,3음전자 망토,4여신의 눈물,2연습용 장갑",처형자신성
503,"6 귀감,3 나무정령,2 처형자,2 선봉대,1 황제,1 대장장이,1 닌자","태양불꽃 망토,덤불 조끼,거인 학살자,피바라기,고속 연사포,구원","라칸,자르반 4세,케넨,세주아니,자야,케일,아지르,오른","2B.F. 대검,2거인의 허리띠,3쇠사슬 조끼,3곡궁,1음전자 망토,1여신의 눈물",선봉학살올라프
504,"6 학살자,6 대장군,2 암살자,2 신성,2 명사수,2 귀감,2 결투가,1 황제,1 무모한 자","대자연의 힘,라바돈의 죽음모자,마법공학 총검,정의의 손길,수은,거인 학살자,용의 발톱,정의의 손길,구원,신성의 검,거인의 결의","니달리,바이,자르반 4세,파이크,다리우스,카타리나,올라프,트린다미어,리 신,사미라,아지르","3B.F. 대검,3뒤집개,1거인의 허리띠,3쓸데없이 큰 지팡이,1쇠사슬 조끼,2곡궁,3음전자 망토,3여신의 눈물,3연습용 장갑",싸움꾼
505,"4 선봉대,3 학살자,3 용의 영혼,1 황제,1 대장장이","모렐로노미콘,얼어붙은 심장,정의의 손길,수호 천사,루난의 허리케인,죽음의 검","트리스타나,브라움,세주아니,아트록스,트린다미어,올라프,아지르,오른","3B.F. 대검,1거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,1곡궁,1음전자 망토,2여신의 눈물,1연습용 장갑",귀감
506,"4 명사수,3 광신도,2 영혼,2 선봉대,1 황제,1 무모한 자","고속 연사포,거인 학살자,정의의 손길,덤불 조끼,즈롯 차원문,워모그의 갑옷,도적의 장갑,이온 충격기,죽음의 검,지크의 전령,서풍","니달리,티모,유미,시비르,세주아니,아트록스,사미라,아지르","4B.F. 대검,5거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,4곡궁,2음전자 망토,1여신의 눈물,3연습용 장갑",대장군학살자
507,"4 명사수,3 광신도,2 조율자,2 신비술사,1 황제,1 추방자,1 무모한 자,1 닌자","구인수의 격노검,구인수의 격노검,정의의 손길,지크의 전령,힘의 성배,얼어붙은 심장,즈롯 차원문,마법공학 총검,용의 발톱,강철의 솔라리 펜던트,강철의 솔라리 펜던트","트리스타나,시비르,쉔,아트록스,아지르,사미라,아지르,요네,질리언","2B.F. 대검,2거인의 허리띠,5쓸데없이 큰 지팡이,3쇠사슬 조끼,3곡궁,3음전자 망토,3여신의 눈물,1연습용 장갑",처형자조율자신성
508,"6 선봉대,3 학살자,3 용의 영혼,1 대장장이","모렐로노미콘,보석 건틀릿,스태틱의 단검,덤불 조끼,지크의 전령,죽음의 검,루난의 허리케인,수호 천사,수호자의 흉갑,무한의 대검","트리스타나,브라움,파이크,세주아니,아트록스,올라프,트린다미어,오른","5B.F. 대검,1뒤집개,2거인의 허리띠,2쓸데없이 큰 지팡이,4쇠사슬 조끼,2곡궁,1음전자 망토,1여신의 눈물,2연습용 장갑",선봉학살올라프
509,"5 선지자,4 흡수자,3 신성,2 조율자,2 신비술사,1 닌자","거인 학살자,용의 발톱,모렐로노미콘,마법공학 총검,수은,푸른 파수꾼,마법공학 총검,덤불 조끼","나서스,블라디미르,잔나,이렐리아,쉔,탈론,모르가나,리 신,스웨인","3B.F. 대검,1거인의 허리띠,3쓸데없이 큰 지팡이,2쇠사슬 조끼,1곡궁,3음전자 망토,2여신의 눈물,1연습용 장갑",귀감
510,"4 흡수자,3 학살자,3 용의 영혼,1 무모한 자","구원,태양불꽃 망토,모렐로노미콘,루덴의 메아리,거인 학살자,수호 천사,루난의 허리케인,얼어붙은 심장","나서스,브라움,모르가나,모르가나,올라프,트린다미어,스웨인,사미라","2B.F. 대검,3거인의 허리띠,2쓸데없이 큰 지팡이,3쇠사슬 조끼,2곡궁,1음전자 망토,3여신의 눈물",처형자나무정령
511,"3 학살자,3 용의 영혼,2 흡수자,2 명사수,1 추방자,1 우두머리,1 무모한 자","지크의 전령,루난의 허리케인,죽음의 검,침묵의 장막,스태틱의 단검,정의의 손길,최후의 속삭임,도적의 장갑,구인수의 격노검,쇼진의 창,가고일 돌갑옷,거인의 결의,라바돈의 죽음모자","트리스타나,모르가나,올라프,리 신,사미라,세트,스웨인,요네,질리언","4B.F. 대검,1거인의 허리띠,3쓸데없이 큰 지팡이,3쇠사슬 조끼,5곡궁,2음전자 망토,3여신의 눈물,5연습용 장갑",대장군학살자
512,"3 학살자,3 용의 영혼,2 흡수자,2 명사수,1 추방자,1 우두머리,1 무모한 자","가고일 돌갑옷,정의의 손길,죽음의 검,루난의 허리케인,침묵의 장막,거인 학살자,용의 발톱,강철의 솔라리 펜던트,고속 연사포,모렐로노미콘","시비르,모르가나,아트록스,올라프,트린다미어,세트,사미라,스웨인,요네","3B.F. 대검,1거인의 허리띠,2쓸데없이 큰 지팡이,3쇠사슬 조끼,4곡궁,4음전자 망토,1여신의 눈물,2연습용 장갑",요술사
513,"7 요술사,3 용의 영혼,2 선봉대","보석 건틀릿,푸른 파수꾼,무한의 대검,덤불 조끼,용의 발톱,거인의 결의,루덴의 메아리,라바돈의 죽음모자,덤불 조끼,즈롯 차원문","브랜드,트위스티드 페이트,룰루,브라움,애니,베이가,아우렐리온 솔,아트록스","1B.F. 대검,1거인의 허리띠,4쓸데없이 큰 지팡이,5쇠사슬 조끼,2곡궁,2음전자 망토,3여신의 눈물,2연습용 장갑",싸움꾼
514,"4 신성,3 처형자,2 영혼,2 신비술사,2 선봉대,2 귀감,1 황제,1 닌자","지크의 전령,거인의 결의,태양불꽃 망토,정의의 손길,거인 학살자,무한의 대검,고속 연사포,구인수의 격노검,수은,수호 천사,쇼진의 창,덫 발톱","오공,유미,킨드레드,쉔,세주아니,자야,케일,리 신,아지르","5B.F. 대검,3거인의 허리띠,1쓸데없이 큰 지팡이,3쇠사슬 조끼,5곡궁,1음전자 망토,2여신의 눈물,4연습용 장갑",선봉학살올라프
515,"7 요술사,4 용의 영혼,2 흡수자,1 우두머리","루덴의 메아리,루덴의 메아리,거인 학살자,침묵의 장막,태양불꽃 망토,즈롯 차원문,가고일 돌갑옷,루덴의 메아리,요술사의 모자,정의의 손길","트위스티드 페이트,브랜드,룰루,애니,베이가,모르가나,아우렐리온 솔,세트,스웨인","1B.F. 대검,1뒤집개,2거인의 허리띠,3쓸데없이 큰 지팡이,3쇠사슬 조끼,2곡궁,1음전자 망토,5여신의 눈물,2연습용 장갑",처형자조율자신성
516,"3 처형자,3 조율자,3 신성,2 영혼,2 신비술사,2 귀감,1 황제,1 닌자","푸른 파수꾼,얼어붙은 심장,지크의 전령,즈롯 차원문,침묵의 장막,신성의 검,용의 발톱,수은,구인수의 격노검,고속 연사포,고속 연사포","유미,이렐리아,킨드레드,세주아니,쉔,자야,케일,아지르","2B.F. 대검,1뒤집개,2거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,6곡궁,3음전자 망토,3여신의 눈물,2연습용 장갑",처형자신성
517,"6 용의 영혼,5 요술사,2 흡수자,2 선봉대","루덴의 메아리,수호 천사,루덴의 메아리,대자연의 힘,즈롯 차원문,거인 학살자,정의의 손길,루난의 허리케인,최후의 속삭임,수은,이온 충격기,마법공학 총검","브랜드,애니,룰루,브라움,베이가,모르가나,세주아니,아우렐리온 솔,올라프,스웨인","3B.F. 대검,2뒤집개,1거인의 허리띠,4쓸데없이 큰 지팡이,1쇠사슬 조끼,4곡궁,3음전자 망토,3여신의 눈물,3연습용 장갑",싸움꾼
518,"6 결투가,4 신성,2 추방자,2 조율자,1 황제","최후의 속삭임,용의 발톱,거인 학살자,침묵의 장막,라바돈의 죽음모자,신성의 검,얼어붙은 심장,구원,푸른 파수꾼","야스오,잭스,이렐리아,칼리스타,아트록스,트린다미어,아지르,요네,리 신","2B.F. 대검,1뒤집개,1거인의 허리띠,2쓸데없이 큰 지팡이,2쇠사슬 조끼,2곡궁,2음전자 망토,4여신의 눈물,2연습용 장갑",귀감
519,"4 선지자,3 학살자,2 조율자,2 암살자,2 신성,2 신비술사,2 결투가,1 닌자","모렐로노미콘,라바돈의 죽음모자,푸른 파수꾼,침묵의 장막,거인 학살자,정의의 손길,요우무의 유령검","피오라,잔나,파이크,이렐리아,모르가나,쉔,올라프,리 신","1B.F. 대검,1뒤집개,1거인의 허리띠,3쓸데없이 큰 지팡이,1쇠사슬 조끼,1곡궁,3여신의 눈물,3연습용 장갑",나무정령
520,"4 처형자,3 나무정령,2 영혼,2 싸움꾼,2 신성,2 귀감,1 우두머리","태양불꽃 망토,거인 학살자,라바돈의 죽음모자,마법공학 총검,이온 충격기,워모그의 갑옷","라칸,누누와 윌럼프,유미,이렐리아,킨드레드,자야,케일,세트","2B.F. 대검,3거인의 허리띠,4쓸데없이 큰 지팡이,1쇠사슬 조끼,1곡궁,1음전자 망토",선봉신비우화
521,"3 학살자,3 용의 영혼,3 광신도,2 흡수자,2 선봉대,2 명사수,1 무모한 자,1 대장장이","덤불 조끼,수호 천사,워모그의 갑옷,덤불 조끼,수은,태양불꽃 망토,이온 충격기","파이크,블라디미르,시비르,세주아니,올라프,스웨인,사미라,오른","1B.F. 대검,3거인의 허리띠,1쓸데없이 큰 지팡이,6쇠사슬 조끼,2음전자 망토,1연습용 장갑",선봉신비우화
522,"4 흡수자,4 선봉대,3 광신도,2 신비술사,2 선지자,1 대장장이","지크의 전령,라바돈의 죽음모자,용의 발톱,수호 천사,모렐로노미콘,라바돈의 죽음모자,수은,워모그의 갑옷,수호 천사,쇼진의 창","가렌,잔나,블라디미르,모르가나,세주아니,아트록스,오른,스웨인,질리언","4B.F. 대검,4거인의 허리띠,5쓸데없이 큰 지팡이,2쇠사슬 조끼,3음전자 망토,1여신의 눈물,1연습용 장갑",귀감
523,"6 암살자,4 영혼,1 닌자","덤불 조끼,용의 발톱,마법공학 총검,모렐로노미콘,루덴의 메아리,용의 발톱,정의의 손길,피바라기,무한의 대검,고속 연사포","다이애나,티모,파이크,아칼리,유미,카타리나,킨드레드,탈론","3B.F. 대검,1거인의 허리띠,3쓸데없이 큰 지팡이,2쇠사슬 조끼,2곡궁,5음전자 망토,2여신의 눈물,2연습용 장갑",귀감
524,"4 선봉대,3 학살자,3 대장군,2 결투가,1 황제,1 무모한 자,1 대장장이","태양불꽃 망토,모렐로노미콘,얼어붙은 심장,수호 천사,최후의 속삭임,무한의 대검,수호 천사,지크의 전령,푸른 파수꾼,거인의 결의","브라움,세주아니,세주아니,아트록스,트린다미어,리 신,사미라,아지르,오른","4B.F. 대검,3거인의 허리띠,1쓸데없이 큰 지팡이,5쇠사슬 조끼,2곡궁,3여신의 눈물,2연습용 장갑",선봉학살올라프
525,"8 싸움꾼,3 나무정령,1 우두머리,1 대장장이","루난의 허리케인,워모그의 갑옷,마법공학 총검,수호 천사,정의의 손길,루난의 허리케인,모렐로노미콘,보석 건틀릿,즈롯 차원문,보석 건틀릿","마오카이,탐 켄치,바이,누누와 윌럼프,쉬바나,초가스,오른,세트,오른","2B.F. 대검,4거인의 허리띠,4쓸데없이 큰 지팡이,1쇠사슬 조끼,3곡궁,2음전자 망토,1여신의 눈물,3연습용 장갑",싸움꾼
526,"7 싸움꾼,3 용의 영혼,1 우두머리","도적의 장갑,지크의 전령,고속 연사포,워모그의 갑옷,루난의 허리케인,죽음의 검,수호 천사,거인 학살자,수호 천사","트리스타나,마오카이,탐 켄치,바이,누누와 윌럼프,쉬바나,세트,스웨인","6B.F. 대검,3거인의 허리띠,2쇠사슬 조끼,4곡궁,1음전자 망토,2연습용 장갑",영혼시비르
527,"6 귀감,3 나무정령,2 처형자,2 선봉대,1 황제,1 대장장이,1 닌자","마법공학 총검,모렐로노미콘,거인의 결의,죽음의 검,정의의 손길,수호 천사,수은,고속 연사포","자르반 4세,라칸,케넨,아트록스,자야,케일,아지르,오른","4B.F. 대검,1거인의 허리띠,2쓸데없이 큰 지팡이,2쇠사슬 조끼,3곡궁,1음전자 망토,1여신의 눈물,2연습용 장갑",영혼시비르
528,"6 용의 영혼,3 학살자,3 요술사,2 흡수자,2 명사수,1 무모한 자,1 대장장이","푸른 파수꾼,덫 발톱,수호 천사,요술사의 모자,최후의 속삭임,수호 천사,수은,가고일 돌갑옷,태양불꽃 망토,침묵의 장막","브랜드,트리스타나,블라디미르,파이크,아우렐리온 솔,올라프,사미라,스웨인,오른","2B.F. 대검,1뒤집개,2거인의 허리띠,5쇠사슬 조끼,1곡궁,2음전자 망토,3여신의 눈물,4연습용 장갑",처형자나무정령
529,"4 선봉대,3 학살자,3 용의 영혼,2 결투가,1 대장장이","모렐로노미콘,수호 천사,최후의 속삭임,정의의 손길,수호자의 흉갑,힘의 성배","가렌,파이크,칼리스타,세주아니,올라프,트린다미어,스웨인,오른","1B.F. 대검,1뒤집개,1거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,1곡궁,1음전자 망토,2여신의 눈물,2연습용 장갑",나무정령
530,"4 선봉대,3 학살자,3 용의 영혼,3 대장군,2 결투가,1 닌자","결투가의 열정,모렐로노미콘,거인의 결의,최후의 속삭임,수호 천사,무한의 대검,수은,루난의 허리케인,거인의 결의","가렌,브라움,제드,세주아니,아트록스,올라프,트린다미어,스웨인","2B.F. 대검,1뒤집개,1거인의 허리띠,1쓸데없이 큰 지팡이,3쇠사슬 조끼,5곡궁,2음전자 망토,3연습용 장갑",대장군학살자
531,"7 요술사,3 용의 영혼,3 나무정령,2 싸움꾼,1 황제","서풍,마법공학 총검,덤불 조끼,태양불꽃 망토,즈롯 차원문,강철의 솔라리 펜던트,가고일 돌갑옷,마법공학 총검,힘의 성배,푸른 파수꾼,정의의 손길,수호 천사","트위스티드 페이트,브랜드,룰루,애니,쉬바나,누누와 윌럼프,베이가,아우렐리온 솔,아지르","3B.F. 대검,3거인의 허리띠,3쓸데없이 큰 지팡이,6쇠사슬 조끼,1곡궁,3음전자 망토,4여신의 눈물,1연습용 장갑",귀감
532,"6 나무정령,3 요술사,2 처형자,2 귀감,1 대장장이","덤불 조끼,마법공학 총검,용의 발톱,힘의 성배,정의의 손길,최후의 속삭임,덫 발톱","라칸,룰루,베이가,누누와 윌럼프,아우렐리온 솔,자야,자야,오른","1B.F. 대검,1거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,1곡궁,3음전자 망토,2여신의 눈물,3연습용 장갑",귀감
533,"6 학살자,2 영혼,2 신비술사,2 명사수,1 추방자,1 무모한 자,1 닌자","강철의 솔라리 펜던트,지크의 전령,가고일 돌갑옷,수은,수호 천사,고속 연사포,도적의 장갑,수은,라바돈의 죽음모자,모렐로노미콘,즈롯 차원문,스태틱의 단검,도적의 장갑,피바라기,마법공학 총검","티모,파이크,제드,다리우스,유미,트린다미어,요네,질리언,사미라","4B.F. 대검,3거인의 허리띠,5쓸데없이 큰 지팡이,3쇠사슬 조끼,4곡궁,4음전자 망토,1여신의 눈물,6연습용 장갑",영혼시비르
534,"3 명사수,2 영혼,2 신성,2 선봉대,2 결투가,1 추방자","강철의 솔라리 펜던트,지크의 전령,고속 연사포,수은,스태틱의 단검,수호 천사,푸른 파수꾼","잭스,티모,킨드레드,시비르,세주아니,아트록스,리 신,요네","2B.F. 대검,1거인의 허리띠,1쓸데없이 큰 지팡이,2쇠사슬 조끼,3곡궁,1음전자 망토,3여신의 눈물,1연습용 장갑",처형자신성
535,"4 영혼,4 명사수,2 선봉대,1 추방자","피바라기,지크의 전령,지크의 전령,고속 연사포,루난의 허리케인,죽음의 검,가고일 돌갑옷,모렐로노미콘","트리스타나,다이애나,티모,유미,킨드레드,시비르,아트록스,세주아니,요네","5B.F. 대검,3거인의 허리띠,1쓸데없이 큰 지팡이,1쇠사슬 조끼,3곡궁,3음전자 망토",영혼시비르
536,"4 영혼,3 행운,2 처형자,2 신성","모렐로노미콘,지크의 전령,고속 연사포","탐 켄치,애니,티모,다리우스,유미,이렐리아,킨드레드,케일","1B.F. 대검,2거인의 허리띠,1쓸데없이 큰 지팡이,2곡궁",처형자신성
537,"8 싸움꾼,3 나무정령,1 우두머리","덤불 조끼,지크의 전령,힘의 성배,구인수의 격노검,쇼진의 창,모렐로노미콘,거인의 결의,정의의 손길","탐 켄치,마오카이,룰루,바이,누누와 윌럼프,쉬바나,초가스,세트","2B.F. 대검,2거인의 허리띠,2쓸데없이 큰 지팡이,3쇠사슬 조끼,2곡궁,1음전자 망토,3여신의 눈물,1연습용 장갑",요술사
538,"6 신성,3 조율자,2 처형자,2 영혼,2 신비술사,2 결투가,1 추방자,1 닌자","힘의 성배,지크의 전령,수은,라바돈의 죽음모자,고속 연사포,워모그의 갑옷,신성의 검,쇼진의 창,쇼진의 창,덤불 조끼,푸른 파수꾼","오공,잭스,유미,이렐리아,킨드레드,쉔,케일,요네,리 신","4B.F. 대검,1뒤집개,3거인의 허리띠,2쓸데없이 큰 지팡이,2쇠사슬 조끼,2곡궁,2음전자 망토,5여신의 눈물,1연습용 장갑",흡수자선지자
539,"7 요술사,3 용의 영혼","즈롯 차원문,용의 발톱,덤불 조끼,마법공학 총검,거인 학살자,수호 천사,정의의 손길,요술사의 모자","브랜드,트위스티드 페이트,브라움,룰루,애니,베이가,아우렐리온 솔,질리언","3B.F. 대검,1뒤집개,1거인의 허리띠,1쓸데없이 큰 지팡이,3쇠사슬 조끼,2곡궁,2음전자 망토,2여신의 눈물,1연습용 장갑",요술사
540,"7 요술사,3 나무정령,2 귀감,1 황제","서풍,힘의 성배,쇼진의 창,쇼진의 창,즈롯 차원문,덫 발톱,용의 발톱,마법공학 총검,푸른 파수꾼,정의의 손길,구인수의 격노검,구원","브랜드,트위스티드 페이트,라칸,룰루,애니,베이가,아우렐리온 솔,아지르","3B.F. 대검,4거인의 허리띠,2쓸데없이 큰 지팡이,2곡궁,4음전자 망토,7여신의 눈물,2연습용 장갑",귀감
541,"6 귀감,3 나무정령,2 결투가,1 황제,1 대장장이,1 닌자","서풍,수호 천사,모렐로노미콘,용의 발톱,정의의 손길,거인 학살자,정의의 손길","엘리스,라칸,케넨,트린다미어,자야,오른,리 신,아지르","2B.F. 대검,2거인의 허리띠,1쓸데없이 큰 지팡이,1쇠사슬 조끼,1곡궁,3음전자 망토,2여신의 눈물,2연습용 장갑",귀감
